당기순이익	매출액	법인세차감전 순이익	영업이익
20114280650.0	379033991821.0	26700198911.0	13900978641.0
33220936937.0	433338112038.0	43390431418.0	23427315378.0
30068350346.0	451467435126.0	36403657070.0	6515739758.0
99126677873.0	1687810317744.0	126060737101.0	48596120264.0
16069140855.0	410853261385.0	28318027217.0	6101960508.0
32928642120.0	482953244262.0	43427779694.0	16936587207.0
5539768482.0	431538165878.0	21782753370.0	4537545073.0
90592526174.0	1775846942745.0	94926373488.0	36028967211.0
22278211541.0	443047818557.0	35805762630.0	22630010546.0
8596769396.0	495722476266.0	13743785043.0	27296041160.0
19015313581.0	483063443680.0	19313295094.0	883255315.0
134031517424.0	1858983759666.0	134539950501.0	56759795062.0
10811693128.0	444593457592.0	14940561757.0	577136746.0
31912289535.0	528312352203.0	39165580005.0	18542379417.0
35541872451.0	598784904117.0	49780400739.0	47577974423.0
55163455235.0	2067791451854.0	61431869918.0	54880319609.0
104019000000.0		124321000000.0	
350573000000.0		495724000000.0	
40828000000.0		49076000000.0	
163188000000.0		212627000000.0	
63721000000.0		92405000000.0	
331110000000.0		429164000000.0	
48984004454.0	5055766403519.0	80313821209.0	186633717812.0
26320612511.0	1445215806603.0	28520631788.0	53226371254.0
28447057412.0	1513557103238.0	37122868863.0	59664263455.0
553673092.0	1490306155470.0	3836138182.0	60314976630.0
68210130933.0	6081945642204.0	91019413577.0	228444490415.0
4433013117.0	1594922919093.0	12933395180.0	51139097619.0
24525036519.0	1707834338298.0	37918972510.0	61854049085.0
10805637507.0	1873206170316.0	20403619695.0	62626307911.0
38887844435.0	7110391207800.0	73136218332.0	235651420434.0
34847195836.0	2001464084617.0	43389753739.0	45309840533.0
6718072471.0	2284607837550.0	20042306640.0	57109877657.0
5164687082.0	2418449071675.0	8413578381.0	52856855890.0
66600069013.0	9219680477069.0	99818962065.0	242686925620.0
12536212507.0	2432724848781.0	13123137653.0	45346970499.0
17629919987.0	2534844925742.0	22707577365.0	71788277232.0
13007850530.0	2621805581814.0	35977798310.0	88721737976.0
50889855210.0	10415108625820.0	93833541248.0	307186346174.0
11358457129.0	2515360835746.0	17348666474.0	58188336853.0
36218444124.0	2649997545568.0	50194462875.0	83860105118.0
47512151025.0	2774501972656.0	67943260924.0	92537225846.0
142623241320.0	10781127150206.0	202298388452.0	325337561292.0
18638362486.0	2692602872714.0	25284097454.0	48119805699.0
49363416156.0	2747234851621.0	98764750888.0	90579287805.0
39545188172.0	2846489119659.0	56023756957.0	105348308581.0
158279696245.0	11343651787492.0	239190286694.0	343880765667.0
31531533077.0	2856952867961.0	47477118211.0	75661609962.0
67089127843.0	3136935075821.0	91006293507.0	116129270715.0
60197872610.0	3113422360701.0	85358132286.0	107655027409.0
196821784424.0	12130712862374.0	285343810348.0	411786887242.0
48420730647.0	2807819702823.0	65865094133.0	99035819179.0
60114447594.0	2962432372580.0	77215740233.0	112393191910.0
57698046982.0	2937071125081.0	82326538298.0	124793052129.0
242876054885.0	11767893663269.0	324971450811.0	480234863157.0
55434587929.0	2921425893480.0	75266536762.0	109365332567.0
61306671861.0	3059182081054.0	84902803894.0	125360555896.0
59965743742.0	2975813507770.0	83845022196.0	141611194932.0
268320297629.0	12116761147160.0	378346154677.0	530663067133.0
44719059016.0	1927124745301.0	67663566079.0	145874230700.0
252387333.0	413764364287.0	6530951297.0	28819146107.0
23439984761.0	505788870964.0	16746967044.0	30898573599.0
36273998961.0	487355552855.0	55537638644.0	31275165733.0
46282665210.0	1895436534283.0	71942170539.0	132938752818.0
23210709670.0	411345638875.0	29244947513.0	24253409069.0
11955964600.0	489239575792.0	20997502363.0	37656210158.0
27957372419.0	526072335828.0	41245022604.0	59708131153.0
7615474688.0	1881222642584.0	19502669725.0	100095848456.0
969412962.0	418547849853.0	4165311426.0	19815918616.0
6669635924.0	490911039860.0	13147729388.0	29749925792.0
8046331717.0	497801175955.0	14570893879.0	32509832802.0
8640979789.0	1876650205043.0	29317343802.0	103511877118.0
30589583519.0	522079673816.0	24771790244.0	14847546913.0
23524735694.0	526677125073.0	32989930461.0	51841761093.0
40132480382.0	2026315990886.0	4207822985.0	100944135301.0
27884173728.0	531509637630.0	39053932686.0	58090670549.0
36916824602.0	579691788285.0	52140222877.0	57490140837.0
30172648007.0	621685587139.0	44441628886.0	67680298434.0
107691606832.0	2247005969872.0	123766766196.0	210493505211.0
26805630610.0	532435092995.0	45620757587.0	56269033207.0
23384087306.0	562664788048.0	33125022814.0	46088517291.0
10933174448.0	554917798687.0	19263068845.0	48204082029.0
72048976158.0	2484277054372.0	110076574030.0	202502517207.0
21764994907.0	600749724375.0	31855778083.0	45399824641.0
11350617318.0	638487983854.0	10297599151.0	11586330004.0
16355922826.0	651002459621.0	26729506481.0	47266275110.0
18315800358.0	2506869281995.0	54168757091.0	138073290650.0
22982366808.0	618367755264.0	32668526356.0	51393785645.0
38809393335.0	661623893726.0	57097318890.0	72913637437.0
37361779335.0	682044203809.0	47497426574.0	73789155584.0
90773142637.0	2585068710459.0	128903947244.0	221794886726.0
1700809954280.0	18960372475927.0	1446153505763.0	264583147468.0
253890345860.0	3889396791915.0	333043231100.0	259027044221.0
186420649819.0	4251376510657.0	84132981333.0	306249243841.0
94596486411.0	3647841306658.0	72644689808.0	187089203638.0
50416443790.0	16410692545519.0	147205636.0	917242620283.0
51329289587.0	4086329544223.0	129960914099.0	265809488596.0
23144641939.0	4588381050852.0	127348349101.0	389028444093.0
23651646386.0	4254054102157.0	114874360232.0	261429794914.0
42313115106.0	17580496044638.0	245758605487.0	1084409132225.0
42095084457.0	4307594248788.0	140053194929.0	350778084876.0
87948295050.0	4746417581927.0	230429742318.0	438315294180.0
54313594923.0	4229542639541.0	119364213056.0	261178896455.0
348857114226.0	18154702566170.0	9452491081.0	1214780124677.0
54921318800.0	4618696997664.0	123673182491.0	354764026899.0
189555284807.0	4988279231433.0	278550068945.0	456602982082.0
82392863723.0	4360286788929.0	25745271782.0	169667121910.0
313824054551.0	18446492810268.0	14331049026.0	1103323347274.0
379850398372.0	4427092193529.0	295079384998.0	90882106105.0
237165149091.0	4209197974751.0	161732545806.0	7899758487.0
35915546693.0	4199464740230.0	92285734839.0	217410216629.0
748000892784.0	17080748851706.0	644156697124.0	530141457498.0
402302228720.0	4520268838410.0	446110912177.0	397991147155.0
200103804413.0	3512256580413.0	213150458138.0	293311751660.0
1810440805.0	3789303589486.0	28856767795.0	259483100382.0
656730965019.0	13204153075980.0	610361584097.0	945931226947.0
134942491576.0	4349379661782.0	168568131398.0	367886183545.0
83784064538.0	4388253907654.0	172081336122.0	340631591963.0
581168717784.0	16995760103010.0	285903924711.0	1126028726422.0
114677740094.0	4351122205209.0	227404105286.0	338180920923.0
174233269252.0	4968339711745.0	302651904937.0	512016633704.0
272073643932.0	19130129881903.0	450973828996.0	1436262204451.0
302227000000.0	18132874000000.0	592954000000.0	1003759000000.0
2221762202.0	177305113950.0	1950558011.0	3064654854.0
283357195.0	45394992826.0	283357195.0	322683589.0
287258879.0	45886814476.0	289597499.0	399345508.0
573446356.0	42934305251.0	571107736.0	338464097.0
21110992789.0	181373613825.0	20655244973.0	976417417.0
1091607079.0	49151160212.0	1066851782.0	879842869.0
8023838200.0	42901381673.0	9454262749.0	1810035862.0
36705256.0	41153915876.0	61460553.0	186430003.0
4121272046.0	178284387342.0	4231297290.0	236517295.0
1410026368.0	37202202344.0	1434781665.0	1515941400.0
1919781108.0	40912135553.0	1672021335.0	1740132813.0
2197047570.0	37628834845.0	2197047570.0	1907030331.0
7933704173.0	161073904292.0	9238992611.0	8587805173.0
1709970504.0	40304488042.0	1734725801.0	1307642908.0
4391719813.0	39620281356.0	4505107989.0	3488912457.0
1567675859.0	38176055180.0	1567675859.0	1352827429.0
10875066038.0	151041606849.0	4072392800.0	2951399189.0
828244782.0	40171334829.0	1069422045.0	1263353668.0
1727171884.0	42271643963.0	1803893096.0	1610770003.0
1988164344.0	40683920480.0	2065934470.0	1900185506.0
5064139080.0	170916583169.0	7478494657.0	8033442422.0
4913331377.0	45118587920.0	4913331377.0	4691258422.0
5180207110.0	52768654198.0	7627057868.0	7189538324.0
4917676753.0	48046443676.0	4916763931.0	4504876179.0
5938031129.0	197940313061.0	8191666437.0	10471849670.0
2054886625.0	53012442231.0	1548366555.0	1324349498.0
2238951175.0	61011305747.0	2542916075.0	1519005040.0
3043509055.0	56700296444.0	3043509055.0	1863146938.0
13134358819.0	227519697624.0	12903336535.0	11487135610.0
6827349138.0	45390385669.0	6827349138.0	6002490238.0
3888461278.0	42695486890.0	4056190590.0	3554757074.0
24022292887.0	166253799305.0	27430617756.0	16701274741.0
3623156326.0	143105590875.0	3946664342.0	7293464621.0
216969092884.0	9513673300027.0	436248875413.0	271768395297.0
31037074480.0	2253709164185.0	70138942543.0	90775867107.0
119796623729.0	2563786089070.0	173068865157.0	136173192255.0
109087538471.0	2457363742629.0	139266028654.0	130654397870.0
293195326282.0	9853769999134.0	436404444540.0	419387736277.0
149346137994.0	2511358953280.0	192660876956.0	113983699447.0
104533695355.0	3106287434023.0	220353305554.0	143036559573.0
295943051132.0	3427207745537.0	350937637639.0	197285733419.0
507998796460.0	12335536232606.0	675328555934.0	545898850454.0
250513431130.0	2836062777035.0	311516419626.0	248241715440.0
225786390511.0	2956979227761.0	300718931934.0	224961284215.0
187300050162.0	2463804097979.0	259647804578.0	205491973968.0
678088773944.0	10984485292300.0	894440698267.0	845358145715.0
236381522003.0	2322069392836.0	314143443083.0	240888039914.0
145993150372.0	2467591457369.0	197834158911.0	297730484475.0
178317803845.0	2163503081314.0	226857663130.0	222998367821.0
710307661773.0	9700078891564.0	957830987829.0	1130120991411.0
223198547577.0	2509375471958.0	300956027693.0	290180729309.0
324615753331.0	509907602348.0	241555131832.0	65951240377.0
450161200687.0	581238446370.0	475942464755.0	47454842793.0
97349985665.0	622568209394.0	122546931310.0	74541521721.0
728618667120.0	2358774796779.0	717852472556.0	193162085397.0
108270277500.0	883116562114.0	141992953335.0	32261385587.0
29685724320.0	1469817502279.0	35396132115.0	58950792914.0
36825446457.0	1489783028299.0	33138829706.0	169571404689.0
101846515303.0	5174950425108.0	124682619501.0	287459456441.0
23640065487.0	1287368068133.0	23625967304.0	69029632177.0
89824507185.0	1218831195279.0	118915851777.0	7089633750.0
50929955278.0	1264448646530.0	76353838606.0	12008510103.0
120978168525.0	5017815821242.0	172529891639.0	150696391721.0
32102474161.0	1404108929857.0	49299164151.0	172346878857.0
9259053739.0	1492081109016.0	15932777624.0	142802691384.0
22091655616.0	1422354415319.0	30519502965.0	121398411718.0
94839002886.0	5615368498981.0	156219141269.0	412518392958.0
7363350835.0	62816222711.0	7672578294.0	1370930981.0
2240612277.0	16404832729.0	2501742903.0	932567637.0
1812654978.0	19132242277.0	1754919993.0	1790048862.0
403695248.0	69743374563.0	281500540.0	1613760800.0
1642971046.0	20271268611.0	1616605621.0	1613984465.0
1458769192.0	21072043404.0	1650773240.0	1436394287.0
4288526436.0	62852074313.0	4813277575.0	3568190735.0
1999015137.0	21490254211.0	2345704149.0	2455668332.0
936834512.0	20158069762.0	1052170280.0	920825101.0
514316258.0	19377016799.0	415340805.0	620558651.0
4312109885.0	83096445246.0	4648231597.0	5327413351.0
1441265209.0	22154061268.0	1741312546.0	1899832116.0
1245352350.0	22700257830.0	1968578514.0	2860627707.0
1230416597.0	21540517751.0	1454672698.0	1547171377.0
5563342662.0	90877644152.0	6600267991.0	8074727045.0
2480721170.0	23234195259.0	2944000135.0	3040641242.0
681866617.0	24719603543.0	255940867.0	1671900502.0
1001698609.0	25500555090.0	1007881972.0	1505693752.0
2412605436.0	98119846404.0	3711335176.0	6270927155.0
543154705.0	26495227966.0	687631767.0	456440757.0
333545078.0	28229930448.0	327879622.0	470259299.0
206973172.0	29782895575.0	282197166.0	583995246.0
920289067.0	115655484997.0	383155286.0	1200168223.0
72931206.0	35526188981.0	242425452.0	572161000.0
889993221.0	34474151866.0	520582139.0	107337004.0
1656284234.0	34142287562.0	1818693179.0	878899940.0
4425392926.0	138881056346.0	3810376632.0	592113629.0
458159942.0	34293848023.0	516755974.0	1972817120.0
3175240180.0	34216399604.0	2576188086.0	380175314.0
5540581558.0	137209588673.0	5442145372.0	364537115.0
10289303485.0	133147218082.0	9984631810.0	11697341742.0
21330673634.0	476385096749.0	22272049673.0	23726626843.0
6883117105.0	127072244890.0	8192488674.0	8842318419.0
7298062752.0	12037961655.0	605263017.0	805840573.0
254434418948.0	10036490813.0	1746486177.0	1443904028.0
266191062172.0	40771268801.0	4551656987.0	3510380093.0
251136593.0	10076753448.0	369664734.0	718538384.0
1072985885.0	11440801589.0	1105704304.0	794091293.0
365923500.0	10458549110.0	549489745.0	968735640.0
23144714.0	41070663187.0	174760067.0	1291180186.0
219257147.0	10731323600.0	180791790.0	694901001.0
514591406.0	11390033581.0	509252982.0	171794374.0
299806857.0	12336834399.0	371584265.0	869558676.0
3831882574.0	47050030688.0	2943884355.0	674507194.0
6901151287.0	14443512217.0	8412079513.0	2550282119.0
1468453291.0	13550533841.0	1787583439.0	2426123332.0
3171580733.0	127364361714.0	5374558489.0	10393967410.0
39954887980.0	292221432211.0	47273318389.0	23796280588.0
3501457909.0	148618710343.0	4998196415.0	3673917250.0
5906392415.0	147338665025.0	8089558187.0	9897499271.0
5320560006.0	153493946625.0	6285235015.0	6236109287.0
31271398454.0	596468913499.0	28407851992.0	9214716010.0
21658380489.0	141943692001.0	24613873494.0	21539433868.0
5092835872.0	148928300860.0	3619403838.0	14633840720.0
10766226733.0	150885211811.0	14539191849.0	19814676959.0
134695952279.0	592374545924.0	176529334040.0	82843702401.0
