Date,Open,High,Low,Close,Volume,Change
2017-04-03,1975,1975,1955,1970,14622,-0.0025316455696202667
2017-04-04,1970,1970,1950,1965,12188,-0.0025380710659898
2017-04-05,1965,1975,1950,1965,28368,0.0
2017-04-06,1970,1975,1960,1970,6441,0.0025445292620864812
2017-04-07,1970,1970,1940,1970,27488,0.0
2017-04-10,1955,1970,1950,1970,13003,0.0
2017-04-11,1970,1970,1950,1970,17555,0.0
2017-04-12,1955,1970,1950,1970,12265,0.0
2017-04-13,1950,1970,1950,1970,20656,0.0
2017-04-14,1970,1970,1950,1965,36580,-0.0025380710659898
2017-04-17,1965,1965,1965,1965,6786,0.0
2017-04-18,1965,1970,1965,1970,10562,0.0025445292620864812
2017-04-19,1970,1975,1965,1975,4818,0.002538071065989911
2017-04-20,1975,1975,1955,1970,38287,-0.0025316455696202667
2017-04-21,1970,1975,1970,1975,13204,0.002538071065989911
2017-04-24,1960,1980,1960,1980,32940,0.0025316455696202667
2017-04-25,1980,1980,1970,1975,10018,-0.002525252525252486
2017-04-26,1970,1980,1965,1980,16761,0.0025316455696202667
2017-04-27,1970,1980,1970,1970,12024,-0.005050505050505083
2017-04-28,1970,1970,1970,1970,2161,0.0
2017-05-02,1975,1980,1970,1975,1695,0.002538071065989911
2017-05-04,1970,1980,1960,1980,67008,0.0025316455696202667
2017-05-08,1980,1980,1965,1965,6698,-0.007575757575757569
2017-05-10,1965,1975,1965,1975,2885,0.0050890585241729624
2017-05-11,1965,1975,1965,1970,11530,-0.0025316455696202667
2017-05-12,1970,1970,1965,1970,9408,0.0
2017-05-15,1965,1970,1965,1970,7552,0.0
2017-05-16,1965,1970,1960,1970,35254,0.0
2017-05-17,1970,1975,1970,1975,17806,0.002538071065989911
2017-05-18,1975,1980,1970,1975,13211,0.0
2017-05-19,1975,1980,1975,1980,2090,0.0025316455696202667
2017-05-22,1980,1980,1975,1980,12398,0.0
2017-05-23,1980,1990,1975,1980,15755,0.0
2017-05-24,1975,1985,1975,1985,12259,0.002525252525252597
2017-05-25,1970,1975,1965,1975,40777,-0.005037783375314908
2017-05-26,1975,1980,1975,1980,2481,0.0025316455696202667
2017-05-29,1975,1980,1975,1980,2328,0.0
2017-05-30,1975,1980,1975,1980,17229,0.0
2017-05-31,1970,2075,1970,1975,70625,-0.002525252525252486
2017-06-01,1985,2015,1975,1990,19809,0.0075949367088608
2017-06-02,1985,1990,1975,1990,14140,0.0
2017-06-05,1970,1990,1970,1990,1634,0.0
2017-06-07,1970,1990,1960,1975,13452,-0.007537688442211032
2017-06-08,1970,1975,1965,1975,4417,0.0
2017-06-09,1970,1975,1965,1970,6623,-0.0025316455696202667
2017-06-12,1965,1980,1960,1980,4168,0.0050761421319796
2017-06-13,1980,1980,1980,1980,8,0.0
2017-06-14,1980,1980,1965,1980,4391,0.0
2017-06-15,1965,1985,1965,1985,1973,0.002525252525252597
2017-06-16,1985,1985,1985,1985,1955,0.0
2017-06-19,1965,1980,1965,1965,1494,-0.010075566750629705
2017-06-20,1965,1970,1965,1970,995,0.0025445292620864812
2017-06-21,1965,1970,1965,1970,2897,0.0
2017-06-22,1970,1975,1970,1975,8209,0.002538071065989911
2017-06-23,1980,1980,1975,1975,840,0.0
2017-06-26,1970,1975,1970,1975,11208,0.0
2017-06-27,1975,1980,1975,1980,6396,0.0025316455696202667
2017-06-28,1975,1980,1975,1980,3230,0.0
2017-06-29,1970,1980,1970,1980,18561,0.0
2017-06-30,1980,1990,1970,1990,33180,0.005050505050504972
2017-07-03,1995,1995,1980,1990,57550,0.0
2017-07-04,1990,2000,1980,2000,12990,0.005025125628140614
2017-07-05,1990,2000,1990,2000,6008,0.0
2017-07-06,1980,1995,1980,1995,5800,-0.0024999999999999467
2017-07-07,2005,2005,1990,1995,16359,0.0
2017-07-10,2000,2005,1995,2005,6790,0.005012531328320913
2017-07-11,2005,2015,2005,2015,12638,0.004987531172069737
2017-07-12,2005,2015,1995,2015,40954,0.0
2017-07-13,2005,2010,2005,2010,5058,-0.002481389578163795
2017-07-14,2015,2015,2005,2015,19558,0.0024875621890547706
2017-07-17,2005,2015,2005,2015,3925,0.0
2017-07-18,2000,2010,2000,2010,3549,-0.002481389578163795
2017-07-19,2010,2010,2000,2010,4742,0.0
2017-07-20,2000,2010,2000,2010,1666,0.0
2017-07-21,2005,2010,2005,2010,318,0.0
2017-07-24,2010,2015,2005,2015,2034,0.0024875621890547706
2017-07-25,2005,2015,2005,2015,110,0.0
2017-07-26,2000,2005,1995,2005,5655,-0.00496277915632759
2017-07-27,2000,2000,1995,2000,10425,-0.0024937655860348684
2017-07-28,1995,2005,1995,2005,12766,0.0024999999999999467
2017-07-31,2005,2005,1995,1995,2759,-0.004987531172069848
2017-08-01,2000,2010,1995,2000,24203,0.0025062656641603454
2017-08-02,2000,2005,2000,2005,3480,0.0024999999999999467
2017-08-03,2000,2000,2000,2000,5049,-0.0024937655860348684
2017-08-04,1995,2010,1995,2010,15714,0.004999999999999893
2017-08-07,2000,2000,2000,2000,11776,-0.00497512437810943
2017-08-08,2000,2010,2000,2010,13087,0.004999999999999893
2017-08-09,2000,2000,2000,2000,983,-0.00497512437810943
2017-08-10,2000,2000,2000,2000,1668,0.0
